"Reference","Value","Footprint","Datasheet","DNF","Extended Part Cost","JLC code","JLCPCB Part #","Part name","cost per unit","Qty"
"B1","battery holder","JLCPartFootprints:BATTERY-SMD_18650-1S-L77.1-W20.7-1","~","X","0","C2988620","C2988620","BH-18650-B1BA002","0","1"
"C1-C4","10u","JLCPartFootprints:C0603","~","","0","C19702","C19702","CL10A106KP8NNNC","0,0066","4"
"C5","100n","JLCPartFootprints:C0402","~","","0","C1525","C1525","CL05B104KO5NNNC","0.0011","1"
"C6","1u","JLCPartFootprints:C0402","~","","0","C52923","C52923","CL05A105KA5NQNC","0,0039","1"
"C7, C8","33pF","JLCPartFootprints:C0402","~","","0","C1570","C1570","0402CG300J500NT","0.0010","2"
"D2","LED_green","JLCPartFootprints:LED0603-RD","~","","0","C72043","C72043","19-217/GHC-YR1S2/3T","0.0264","1"
"D3","LED_red","JLCPartFootprints:LED0603-RD","~","","0","C2286","C2286","KT-0603R","0.0054","1"
"D4, D5","LED_white","JLCPartFootprints:LED0805-R-RD","~","","0","C34499","C34499","C34499","0.0157","2"
"J1, J2","01x02_male_header","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","X","0","","","","0","2"
"J3","STM32F051C6_female_header","CustomFootprints:STM32F051C6_female_header","","X","0","","","","0","1"
"J4","STM32F051C6_testpoints","CustomFootprints:STM32F051C6_testpoints","","X","0","","","","0","1"
"J5","STM-link_debugger","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","X","0","","","","0","1"
"J6","01x10_male_header","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","X","0","","","","0","1"
"JP1-JP4","01x02_male_header_jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","X","0","","","","0","4"
"JP5, JP6","01x03_male_header_jumper","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","X","0","","","","0","2"
"Q1, Q3-Q8, Q90","AO3401A","JLCPartFootprints:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","","0","C15127","C15127","AO3401A","0,07965","8"
"Q2","AO3400A","JLCPartFootprints:SOT-23_L2.9-W1.3-P1.90-LS2.4-BR","https://ngspice.sourceforge.io/docs/ngspice-manual.pdf","","0","C20917","C20917","AO3400A","","1"
"R1, R2, R5, R6, R15, R16, R18-R21, R23-R27, R29-R37, R40-R48, R53-R58, R61, R120, R400, R700","0","JLCPartFootprints:R0603","~","","0","C21189","C21189","0603WAF0000T5E","0,0010","43"
"R3, R9, R11, R14, R17, R22, R38, R39","1.2k","JLCPartFootprints:R0805","~","","0","C17630","C17630","0805W8F3300T5E","0,0016","8"
"R28","100k","JLCPartFootprints:R1206","~","","0","C17900","C17900","1206W4F1003T5E","0,0031","1"
"R49, R59","10k","JLCPartFootprints:R0805","~","","0","C17414","C17414","0805W8F1002T5E","0,0010","2"
"R50, R51","3.9k","JLCPartFootprints:R0402","~","","0","C51721","C51721","0402WGF3901TCE","0,0006 ","2"
"R52","8.2k","JLCPartFootprints:R0402","~","","0","C25924","C25924","0402WGF8201TCE","0,0005","1"
"R60, R800","20k","JLCPartFootprints:R0603","~","","0","C4184","C4184","0603WAF2002T5E","-- mixed values --","2"
"R100, R620","100k","JLCPartFootprints:R0805","~","","0","C149504","C149504","0805W8F1003T5E","","2"
"R130","470k","JLCPartFootprints:R0805","~","","0","C17709","C17709","0805W8F4703T5E","","1"
"RV1","R_Potentiometer","JLCPartFootprints:RES-ADJ-TH_RK09K1130AJ3","~","","3","C388854","C388854","RK09K1130AJ3","0,5956","1"
"SW1","Reset switch","JLCPartFootprints:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","~","","0","C318884","C318884","TS-1187A-B-A-B","0,0152","1"
"SW2-SW4","Switch","JLCPartFootprints:SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2","~","","0","C318884","C318884","TS-1187A-B-A-B","0,0152","3"
"TH1","Thermistor","JLCPartFootprints:R0402","~","","3 ","C77130","C77130","NCP15WF104F03RC","0.0126","1"
"TP1","5v","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP2","UVLO","CustomFootprints:Testpoint","~","","0","","","","0","1"
"TP3","battery charger","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP4","3.3v out","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP5","reverse polarity ","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP6","Pot ADC","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP7","Sensors SDA","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP8","Sensors SCL","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP9","Therm ADC","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP10","Light Interrupt","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP11","LED 1","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP12","LED 2","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP13","Switch 1","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP14","Switch 2","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP15","Switch 3","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP16","uc Tx","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP17","uc Rx","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP18","Plug Detect","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP19","EEPROM SDA","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP20","EEPROM SCL","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP21","USB D-","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"TP22","USB D+","CustomFootprints:Testpoint","~","X","0","","","","0","1"
"U1","LMS33460MG_NOPB","JLCPartFootprints:SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR","https://atta.szlcsc.com/upload/public/pdf/source/20180404/C202268_2B9476A784C7F34EA71CCBA8021E516C.pdf","","3","C95686","C95686","LMS33460MG_NOPB","","1"
"U2","Battery Charger","JLCPartFootprints:ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP","","","0","C16581","C16581","TP4056","0.2148","1"
"U4","XC6206PxxxMR","JLCPartFootprints:SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","https://www.torexsemi.com/file/xc6206/XC6206.pdf","","0","C5446","C5446","XC6206P332MR","0,0964","1"
"U5","GXHTC3","JLCPartFootprints:DFN-6_L2.0-W2.0-P0.50-BL-EP","","","3","C2837688","C2837688","GXHTC3","0,8714","1"
"U6","LTR-303ALS-01","JLCPartFootprints:SOT-363_L2.0-W1.3-P0.65-LS2.1-BL","http://optoelectronics.liteon.com/upload/download/DS86-2013-0004/LTR-303ALS-01_DS_V1.pdf","","3","C364577","C364577","LTR-303ALS-01","0,3762","1"
"U7","24LC256","JLCPartFootprints:PDIP-8_L9.3-W6.4-P2.54-LS7.6-BL","http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf","","3","C411624","C411624","24LC256","1.6033","1"
"U8","usb","JLCPartFootprints:MICRO-USB-SMD_MICROXNJ","","","3","C404969","C404969","MicroXNJ","0.0333","1"
"U9","HT42B534-2","JLCPartFootprints:SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","","","3","C493294","C493294","HT42B534-2","0.7554","1"
"Y1","Crystal","JLCPartFootprints:CRYSTAL-SMD_L11.5-W4.8-LS12.7","~","","0","C12674","C12674","X49SM8MSD2SC","0.0864","1"
